prefill,decode,conc,isl,osl,date,endpoint_type,label,model_id,tokenizer_id,num_prompts,request_rate,burstiness,max_concurrency,duration,completed,total_input_tokens,total_output_tokens,request_throughput,request_goodput,output_throughput,total_token_throughput,mean_ttft_ms,median_ttft_ms,std_ttft_ms,p99_ttft_ms,mean_tpot_ms,median_tpot_ms,std_tpot_ms,p99_tpot_ms,mean_itl_ms,median_itl_ms,std_itl_ms,p99_itl_ms,source_file
2,2,128,128,2048,20250922-025445,openai,,openai/gpt-oss-120b,openai/gpt-oss-120b,500,inf,1.0,128,43.20748715200011,500,63996,324214,11.572068476026951,,7503.653217773203,8984.785406156845,1020.1447424479975,552.434404499877,982.8817998960803,2603.7904388099014,11.76933477468571,11.828500136371902,2.0126013947537515,14.61475953545108,10.78635246239891,11.097333499947126,1.9968892730818588,15.640960580089995,2p2d_conc128_in128_out2048_20250922_025354.json
2,2,128,2048,128,20250922-063640,openai,,openai/gpt-oss-120b,openai/gpt-oss-120b,500,inf,1.0,128,15.14591977300006,500,1023101,30762,33.012191236568356,,2031.0420536386316,69580.65378628728,2134.937552108,1360.5210789999092,1373.9576934334898,5203.091489930321,10.426349742742417,9.94719598818983,4.170535478218317,39.551211194536585,9.64256429647749,9.408693499835863,7.579471677226267,21.424565700117434,2p2d_conc128_in2048_out128_20250922_063604.json
2,2,128,2048,2048,20250922-025032,openai,,openai/gpt-oss-120b,openai/gpt-oss-120b,500,inf,1.0,128,49.13539905300013,500,1023101,365231,10.175962943959663,,7433.154243970663,28255.22997182681,1930.614336638001,1111.019562000024,1712.488846286564,5436.800422819888,11.841947538403257,11.792164456033229,2.550761640404262,18.657619886353693,10.752046922378415,11.089246999972602,2.6102968795482835,17.324807199929648,2p2d_conc128_in2048_out2048_20250922_024914.json
2,2,128,2048,32784,20250922-033359,openai,,openai/gpt-oss-120b,openai/gpt-oss-120b,500,inf,1.0,128,1019.6636058830004,500,1023101,6068314,0.49035779752775804,,5951.290175493719,6954.661281510613,852.0144880379958,557.1788914999161,821.1615214536594,3223.373811500227,16.52834169119797,13.998248818180317,7.375038198911723,35.13764271208806,16.528591597341954,14.994473499882588,5.45954390824992,30.609110330051415,2p2d_conc128_in2048_out32784_20250922_031436.json
2,2,128,32784,2048,20250922-030325,openai,,openai/gpt-oss-120b,openai/gpt-oss-120b,500,inf,1.0,128,289.30533194500003,500,16392000,612857,1.7282778600674225,,2118.3743689746807,58778.23573342506,36214.00433451201,29344.6664265,21363.448798323654,102645.14881008005,15.678441722971199,16.279353796815183,5.331197198297663,27.69805916453906,15.26025319473444,15.519539000024452,12.053765939217005,91.81122328005542,2p2d_conc128_in32784_out2048_20250922_025726.json
2,2,32,128,2048,20250922-025726,openai,,openai/gpt-oss-120b,openai/gpt-oss-120b,500,inf,1.0,32,84.61509637500012,500,63996,307323,5.9091110383433545,,3632.0114632735895,4388.330403293232,102.49063376200866,83.78164349994677,40.726506594837176,229.55098809014316,8.764959032778801,8.78333175454393,0.9356568846825152,10.456455583633526,7.983279357909934,8.0305019998832,0.929532306910207,10.754372960036553,2p2d_conc32_in128_out2048_20250922_025554.json
2,2,32,2048,128,20250922-063727,openai,,openai/gpt-oss-120b,openai/gpt-oss-120b,500,inf,1.0,32,11.893925405000118,500,1023101,32381,42.03826600340067,,2722.4821829122343,88741.26615560269,170.7008197340101,140.55676199996014,121.4361568063885,927.1688324603473,8.946787916450651,8.89139336129489,0.726544540252258,11.046380474981106,8.675725929895501,8.336106000115251,2.7758832687415778,18.536804000086708,2p2d_conc32_in2048_out128_20250922_063704.json
2,2,32,2048,2048,20250922-025354,openai,,openai/gpt-oss-120b,openai/gpt-oss-120b,500,inf,1.0,32,99.73388912500013,500,1023101,370636,5.013341045723502,,3716.249343645552,13974.557818087074,113.82930059399541,94.98266500008867,54.18086683972626,336.6820386599966,8.543139103823684,8.479155975574026,0.9848526799231152,10.731858230911628,7.879409015167406,7.85676350005815,1.450141995943693,12.368818400125303,2p2d_conc32_in2048_out2048_20250922_025156.json
2,2,32,2048,32784,20250922-043027,openai,,openai/gpt-oss-120b,openai/gpt-oss-120b,500,inf,1.0,32,1722.2224852989993,500,1023101,5517873,0.29032253629715776,,3203.9257686512137,3797.9843230675306,182.84925931599355,102.65748700021504,241.62892610890904,1228.2617155500157,10.085051482673212,10.00519728877773,1.7575728289598376,15.191763923485606,9.27210971600362,9.074906000023475,1.884597467867542,13.635605319432221,2p2d_conc32_in2048_out32784_20250922_035923.json
2,2,32,32784,2048,20250922-031435,openai,,openai/gpt-oss-120b,openai/gpt-oss-120b,500,inf,1.0,32,291.0602659840001,500,16392000,635329,1.717857290859088,,2182.809109488427,58501.04253301277,1556.910741474002,915.7249469999442,1896.5812020755895,10555.720519479986,13.42712138219659,13.252564722818066,2.5497806712677265,19.295522379973754,13.049033176200211,12.532714000371925,9.282708525736458,75.41685247988386,2p2d_conc32_in32784_out2048_20250922_030837.json
